column,datatype,not_null,default,primary_key,sequence,foreign_key,comment
protocol_id,smallint,TRUE,,TRUE,TRUE,,protocol index (technical)
protocol,varchar,TRUE,,FALSE,,,protocol short label
description,varchar,FALSE,NULL,,,,a description of the protocol (tbd)
