grts_address;stratum;activity_group_id;date_start;date_start_new;dt_min
6086;9120;9;2025-10-01;2026-01-01;92
6110;9120;9;2025-10-01;2026-01-01;92
8118;9120;9;2026-01-01;2025-10-01;-92
8326;9120;4;2025-10-01;2025-07-01;-92
8326;9120;9;2026-04-01;2025-10-01;-182
8326;9120;28;2025-10-01;2025-07-01;-92
8449;9120;4;2026-01-01;2025-07-01;-184
8449;9120;9;2026-07-01;2026-01-01;-181
8449;9120;28;2026-01-01;2025-07-01;-184
9118;9120;4;2026-01-01;2025-10-01;-92
9118;9120;9;2026-07-01;2026-04-01;-91
9118;9120;28;2026-01-01;2025-10-01;-92
9262;9120;4;2026-04-01;2025-10-01;-182
9262;9120;9;2026-10-01;2026-04-01;-183
9262;9120;28;2026-04-01;2025-10-01;-182
9366;91E0_vn;9;2025-10-01;2026-01-01;92
9601;9120;4;2026-07-01;2026-01-01;-181
9601;9120;28;2026-07-01;2026-01-01;-181
10066;91E0_vn;9;2026-01-01;2025-10-01;-92
10305;9120;4;2026-10-01;2026-01-01;-273
10305;9120;28;2026-10-01;2026-01-01;-273
11561;91E0_vn;4;2025-10-01;2025-07-01;-92
11561;91E0_vn;9;2026-04-01;2026-01-01;-90
11561;91E0_vn;11;2025-10-01;2025-07-01;-92
11561;91E0_vn;13;2025-10-01;2025-07-01;-92
11561;91E0_vn;28;2025-10-01;2025-07-01;-92
11769;91E0_vn;4;2026-01-01;2025-10-01;-92
11769;91E0_vn;9;2026-07-01;2026-04-01;-91
11769;91E0_vn;28;2026-01-01;2025-10-01;-92
12009;91E0_vn;4;2026-01-01;2025-10-01;-92
12009;91E0_vn;9;2026-07-01;2026-04-01;-91
12009;91E0_vn;28;2026-01-01;2025-10-01;-92
12470;91E0_vn;4;2026-04-01;2026-01-01;-90
12470;91E0_vn;9;2026-10-01;2026-07-01;-92
12470;91E0_vn;28;2026-04-01;2026-01-01;-90
13574;91E0_va;9;2025-10-01;2026-01-01;92
15865;91E0_va;9;2026-01-01;2025-10-01;-92
15937;91E0_va;4;2025-10-01;2025-07-01;-92
15937;91E0_va;9;2026-04-01;2026-01-01;-90
15937;91E0_va;11;2025-10-01;2025-07-01;-92
15937;91E0_va;13;2025-10-01;2025-07-01;-92
15937;91E0_va;28;2025-10-01;2025-07-01;-92
15937;91E0_vn;4;2026-07-01;2026-01-01;-181
15937;91E0_vn;28;2026-07-01;2026-01-01;-181
17606;91E0_va;4;2026-01-01;2025-07-01;-184
17606;91E0_va;9;2026-07-01;2026-01-01;-181
17606;91E0_va;28;2026-01-01;2025-07-01;-184
17938;91E0_vn;4;2026-10-01;2026-04-01;-183
17938;91E0_vn;28;2026-10-01;2026-04-01;-183
20274;9160;9;2025-10-01;2026-01-01;92
21761;91E0_va;4;2026-04-01;2025-10-01;-182
21761;91E0_va;9;2026-10-01;2026-04-01;-183
21761;91E0_va;28;2026-04-01;2025-10-01;-182
22726;9160;4;2025-10-01;2025-07-01;-92
22726;9160;9;2026-04-01;2025-10-01;-182
22726;9160;28;2025-10-01;2025-07-01;-92
23238;9160;4;2026-01-01;2025-07-01;-184
23238;9160;9;2026-07-01;2025-10-01;-273
23238;9160;28;2026-01-01;2025-07-01;-184
24422;91E0_va;4;2026-10-01;2026-01-01;-273
24422;91E0_va;28;2026-10-01;2026-01-01;-273
24774;9160;4;2026-04-01;2025-07-01;-274
24774;9160;9;2026-10-01;2026-01-01;-273
24774;9160;28;2026-04-01;2025-07-01;-274
26822;9160;4;2026-04-01;2025-07-01;-274
26822;9160;9;2026-10-01;2026-01-01;-273
26822;9160;28;2026-04-01;2025-07-01;-274
30153;6510_hu;9;2025-10-01;2026-01-01;92
30873;9130_end;4;2025-10-01;2025-07-01;-92
30873;9130_end;9;2026-04-01;2025-10-01;-182
30873;9130_end;28;2025-10-01;2025-07-01;-92
31401;6510_hu;9;2026-01-01;2025-10-01;-92
