grts_address,stratum,activity_group_id,date_start,archive_version_id,visit_done,was_modified,n
9262,9120,4,2026-04-01,5,t,t,1
9262,9120,11,2025-10-01,,f,f,1
9262,9120,13,2025-10-01,,f,f,1
9262,9120,28,2031-10-01,3,f,f,1
10745,9120,4,2026-07-01,,t,t,1
10745,9120,28,2026-07-01,,f,f,1
23238,9160,4,2025-07-01,,t,t,1
23238,9160,28,2025-07-01,,f,t,1
88274,9190,4,2026-01-01,5,t,t,1
88274,9190,11,2025-10-01,,f,f,1
88274,9190,13,2025-10-01,,f,f,1
88274,9190,28,2031-10-01,3,f,f,1
105458,4010,4,2025-07-01,,f,f,1
105458,4010,4,2026-04-01,5,t,t,1
105458,4010,11,2025-07-01,,f,f,1
105458,4010,13,2025-07-01,,f,f,1
105458,4010,28,2026-04-01,5,t,t,1
122549,1330_hpr,4,2025-07-01,,t,t,1
122549,1330_hpr,9,2025-10-01,,f,f,1
122549,1330_hpr,28,2025-07-01,,t,t,1
176862,4010,4,2026-10-01,5,t,t,1
176862,4010,9,2026-10-01,,f,f,1
176862,4010,28,2026-10-01,5,t,t,1
198137,91E0_vc,4,2025-10-01,,t,t,1
198137,91E0_vc,9,2026-04-01,,f,f,1
198137,91E0_vc,11,2025-10-01,,f,f,1
198137,91E0_vc,13,2025-10-01,,f,f,1
198137,91E0_vc,28,2025-10-01,,f,f,1
211193,91E0_vc,4,2026-10-01,5,t,t,1
211193,91E0_vc,9,2026-10-01,,f,f,1
211193,91E0_vc,28,2032-04-01,3,f,f,1
212661,1310_pol,4,2030-04-01,5,t,t,1
212661,1310_pol,28,2030-04-01,5,t,t,1
236530,4010,4,2026-07-01,5,f,t,1
236530,4010,9,2026-10-01,,f,f,1
236530,4010,28,2026-04-01,,f,f,1
236530,4010,28,2032-04-01,3,f,f,1
292585,91E0_sf,4,2025-10-01,,t,t,1
292585,91E0_sf,9,2026-04-01,,f,f,1
292585,91E0_sf,11,2025-10-01,,f,f,1
292585,91E0_sf,13,2025-10-01,,f,f,1
292585,91E0_sf,28,2025-10-01,,t,t,1
299701,1330_hpr,4,2025-07-01,5,t,t,1
299701,1330_hpr,11,2025-07-01,3,f,f,1
299701,1330_hpr,13,2025-07-01,3,f,f,1
299701,1330_hpr,28,2026-01-01,,t,t,1
366225,6510_hua,4,2025-10-01,5,t,t,1
366225,6510_hua,9,2026-04-01,3,f,f,1
366225,6510_hua,9,2026-10-01,3,f,f,1
366225,6510_hua,11,2025-10-01,3,f,f,1
366225,6510_hua,13,2025-10-01,3,f,f,1
366225,6510_hua,28,2025-10-01,5,t,t,1
369974,7140_meso,4,2025-07-01,,t,t,1
369974,7140_meso,28,2025-07-01,,t,t,1
409269,1310_pol,4,2030-07-01,5,t,t,1
409269,1310_pol,28,2030-07-01,5,t,t,1
425385,91E0_sf,4,2026-10-01,,t,t,1
425385,91E0_sf,28,2026-10-01,,t,t,1
450229,1330_hpr,4,2025-10-01,5,t,t,1
450229,1330_hpr,9,2026-04-01,5,f,f,1
450229,1330_hpr,9,2026-10-01,5,f,f,1
450229,1330_hpr,11,2025-10-01,5,f,f,1
450229,1330_hpr,13,2025-10-01,5,f,f,1
450229,1330_hpr,28,2025-10-01,5,t,t,1
500782,6230_hmo,4,2025-07-01,,t,t,1
500782,6230_hmo,28,2025-07-01,,t,t,1
540341,1330_hpr,4,2026-07-01,5,t,t,1
540341,1330_hpr,28,2026-07-01,5,t,t,1
656798,6410_mo,4,2025-10-01,5,t,t,1
656798,6410_mo,11,2025-10-01,3,f,f,1
656798,6410_mo,13,2025-10-01,3,f,f,1
656798,6410_mo,28,2025-10-01,5,t,t,1
696182,7140_meso,4,2026-07-01,5,t,t,1
696182,7140_meso,9,2026-07-01,,f,f,1
696182,7140_meso,28,2026-07-01,5,t,t,1
709330,7140_meso,4,2026-04-01,,t,t,1
709330,7140_meso,4,2032-04-01,3,f,f,1
709330,7140_meso,9,2026-10-01,,f,f,1
709330,7140_meso,28,2026-04-01,,t,t,1
709330,7140_meso,28,2032-04-01,3,f,f,1
743982,6230_hmo,4,2025-07-01,,t,t,1
743982,6230_hmo,28,2025-07-01,,t,t,1
780114,6230_hmo,4,2025-10-01,,t,t,1
780114,6230_hmo,4,2031-10-01,3,f,f,1
780114,6230_hmo,11,2025-10-01,,f,f,1
780114,6230_hmo,13,2025-10-01,,f,f,1
780114,6230_hmo,28,2025-10-01,,t,t,1
780114,6230_hmo,28,2031-10-01,3,f,f,1
871030,4010,4,2026-04-01,,f,f,1
871030,4010,9,2026-10-01,,f,f,1
871030,4010,28,2026-04-01,,f,f,1
871030,7150,4,2025-10-01,5,t,t,1
871030,7150,9,2026-04-01,3,f,f,1
871030,7150,9,2026-10-01,3,f,f,1
871030,7150,11,2025-10-01,3,f,f,1
871030,7150,13,2025-10-01,3,f,f,1
871030,7150,28,2025-10-01,5,t,t,1
928050,91E0_vm,4,2026-01-01,,t,t,1
928050,91E0_vm,9,2026-07-01,,f,f,1
928050,91E0_vm,28,2026-01-01,,f,f,1
979286,6230_hmo,4,2026-10-01,5,t,t,1
979286,6230_hmo,9,2026-10-01,,f,f,1
979286,6230_hmo,28,2026-10-01,5,t,t,1
1195701,1310_pol,4,2025-07-01,,t,t,1
1195701,1310_pol,9,2026-01-01,,f,f,1
1195701,1310_pol,28,2025-07-01,,t,t,1
1280278,6510_hus,4,2025-07-01,5,t,t,1
1280278,6510_hus,9,2026-01-01,3,f,f,1
1280278,6510_hus,9,2026-07-01,3,f,f,1
1280278,6510_hus,11,2025-07-01,5,t,t,1
1280278,6510_hus,13,2025-07-01,5,t,t,1
1280278,6510_hus,28,2025-07-01,5,t,t,1
1588917,1310_pol,4,2025-10-01,,t,t,1
1588917,1310_pol,9,2026-04-01,,f,f,1
1588917,1310_pol,11,2025-10-01,,f,f,1
1588917,1310_pol,13,2025-10-01,,f,f,1
1588917,1310_pol,28,2025-10-01,,t,t,1
1736754,9160,4,2026-01-01,5,t,t,1
1736754,9160,11,2025-10-01,,f,f,1
1736754,9160,13,2025-10-01,,f,f,1
1736754,9160,28,2031-07-01,3,f,f,1
1818369,6230_hmo,4,2025-10-01,,t,t,1
1818369,6230_hmo,11,2025-10-01,,t,t,1
1818369,6230_hmo,13,2025-10-01,,t,t,1
1818369,6230_hmo,28,2025-10-01,,t,t,1
1902553,9130_end,4,2025-07-01,,f,f,1
1902553,9130_end,4,2025-10-01,5,t,t,1
1902553,9130_end,11,2025-10-01,5,t,t,1
1902553,9130_end,13,2025-10-01,5,t,t,1
1902553,9130_end,28,2025-07-01,,f,f,1
1902553,9130_end,28,2031-01-01,3,f,t,1
1904953,9130_end,4,2026-04-01,5,t,t,1
1904953,9130_end,11,2025-10-01,,f,f,1
1904953,9130_end,13,2025-10-01,,f,f,1
1904953,9130_end,28,2031-10-01,3,f,f,1
2137206,7230,4,2025-07-01,5,t,t,1
2137206,7230,9,2026-01-01,3,f,f,1
2137206,7230,9,2026-07-01,3,f,f,1
2137206,7230,28,2025-07-01,5,t,t,1
2227625,91E0_sf,4,2025-10-01,,t,t,1
