"pool_in_rep","grts_address","stratum","date_first_visit","planned_in_app","notes"
"Meetnet",906654,"3130_na_0_1","2026-07-08",,"Poel in Baarle-Hertog (Nederlandse grens), hier zit knoflookpad (+ watercrassula)"
"Extra",222878,"3130_aom_1_5","-",,"Poel in Beerse (heeft wat algenbloei). Ten zuiden van GRTS906654. Zelf staalnamelocatie bepalen."
"Extra",51263134,"3130_na_0_1","-",,"Poel in de buurt van GRTS222878. Staalnamelocatie zelf bepalen, mag gekozen worden over hele plas (niet enkel in kleine polygoon van watervlakkenlaag, wellicht foutje in kaart)."
"Extra",3648158,"3130_na_1_5","-",,"Poel in de buurt van GRTS222878 en GRTS51263134. Staalnamelocatie zelf bepalen."
"Meetnet",2258078,"3130_na_1_5","2026-07-13",,"Klokkeven, Emma's opleiding"
"Extra",9883950,"3130_aom_5_50","-",,"Poel in Turnhouts vennengebied (Grote Klotteraard). Staalnamelocatie zelf bepalen."
"Extra",9172270,"3160_1_5","-",,"Poel in Turnhouts vennengebied (Kleine Klotteraard). Staalnamelocatie zelf bepalen."
"Extra",22107438,"3130_na_1_5","-",,"Poel in Turnhouts vennengebied (Haverven). Staalnamelocatie zelf bepalen."
"Extra",11466030,"3160_0_1","-",,"Poel in Turnhouts vennengebied (kleine plas aan grote plas Zwart Water). Staalnamelocatie zelf bepalen."
"Meetnet",1537582,"3150_1_5","2026-07-14",,"Poel in natuurreservaat 't Goorken"
"Meetnet",6757102,"3150_0_1","2026-07-28",,"Poel in de buurt van GRTS1537582. Natuurreservaat Rode Del. Veel submerse vegetatie, vooral hoornblad, centraal in poel is nog open water. "
"Meetnet",231150,"3130_aom_0_1","2026-07-08",,"Poel in natuurreservaat Watering/Ronde Put in Postel/Retie."
"Extra",10770158,"3130_na_5_50","-",,"Poel in natuurreservaat Watering/Ronde Put in Postel/Retie, juist ten noorden van GRTS231150, staat hiermee ook in verbinding, maar sterkere eutrofiëring hier. Zelf staalnamelocatie nog bepalen."
"Extra",3598062,"3130_na_1_5","-",,"Poel in natuurreservaat Watering/Ronde Put in Postel/Retie. In de buurt van GRTS231150 en GRTS3598062. Zelf staalnamelocatie nog bepalen."
"Meetnet",19205238,"3130_na_50_150","2026-07-13",,"Poel aan het Zilvermeer (Put van Rauw)."
"Extra",7244918,"3140_5_50","-",,"Poel aan het Zilvermeer (Kanaalmeer II), in de buurt van GRTS 19205238."
"Extra",57789558,"3140_5_50","-",,"Poel aan het Zilvermeer (natuurreservaat De Maat), in de buurt van GRTS 19205238 en GRTS7244918. Zelf staalnamelocatie nog bepalen."
"Meetnet",681846,"3150_0_1","2026-07-08",,"Poel in Balen, aan 't Scheps. Tweede opleidingsdag van Lise."
"Extra",53516150,"3150_0_1","-",,"Poel in de buurt van GRTS681846. Zelf staalnamelocatie nog bepalen."
"Extra",55700526,"3140_0_1","-",,"Poel in natuurgebied Tikkebroeken (Kasterlee). Zelf staalnamelocatie nog bepalen."
"Extra",2076662,"3130_aom","-",,"Poel aan verblijfsdomein Hoge Rielen. Zelf staalnamelocatie nog bepalen."
"Meetnet",452054,"3130_aom_5_50","2026-07-15",,"Poel Het Zwart Water, in de buurt van Bobbejaanland."
"Extra",54912046,"3130_na_5_50","-",,"Grote zandwinningsput in Grotenhoutbos. Zelf staalnamelocatie nog bepalen."
"Meetnet",1012434,"3130_aom_1_5","2026-07-23",,"Poel in Houthalen (zuiden). Opletten, wordt plots snel diep!"
"Meetnet",1675858,"3130_aom_1_5","2026-07-27",,"Poel in Nationaal Park Hoge Kempen (Stokkemerbos)."
"Extra",50041426,"3160_1_5","-",,"Poel in Nationaal Park Hoge Kempen in de buurt van GRTS1675858. Zelf staalnamepunt nog bepalen. Indien niet geschikt, ga dan naar GRTS3851858 (en kijk of er daar wel een goed staal kan genomen worden)."
"Extra",22619730,"3130_aom_50_150","-",,"Poel in Nationaal Park Hoge Kempen in de buurt van GRTS1675858 en GRTS50041426. Zelf staalnamepunt nog bepalen."
"Extra",8578898,"3140_1_5","-",,"Poel in Bergerven, ten noorden van NP Hoge Kempen (in de buurt van GRTS1675858). Zelf staalnamepunt nog bepalen."
"Meetnet",842210,"3140_5_50","2026-07-22",,"Poel in Kessenich (Kessenichplas, Nederlandse Grens)"
"Meetnet",602258,"3130_na_0_1","2026-07-22",,"Poel nabij of in bosreservaat Grootbroek (Bree, nabij Nederlandse grens)."
"Meetnet",50344082,"3130_na_1_5","2026-07-30",,"Poel nabij of in bosreservaat Grootbroek (Bree, nabij Nederlandse grens), in de buurt van GRTS602258."
"Meetnet",1239346,"3130_aom_0_1","2026-07-14",,"Natuurreservaat De Maten. Hier kan je meerdere poelen op wandelafstand bemonsteren op één dag. Je kan deze 4 poelen in de maten op één dag inplannen. "
"Meetnet",452914,"3130_aom_1_5","2026-07-14",,"Natuurreservaat De Maten. Hier kan je meerdere poelen op wandelafstand bemonsteren op één dag. Je kan deze 4 poelen in de maten op één dag inplannen. "
"Extra",49473842,"3130_na_0_1","-",,"Natuurreservaat De Maten. Hier kan je meerdere poelen op wandelafstand bemonsteren op één dag. Je kan deze 4 poelen in de maten op één dag inplannen. Zelf staalnamepunt nog bepalen."
"Extra",7006514,"3150_1_5","-",,"Natuurreservaat De Maten. Hier kan je meerdere poelen op wandelafstand bemonsteren op één dag. Je kan deze 4 poelen in de maten op één dag inplannen. Zelf staalnamepunt nog bepalen."
"Meetnet",2492114,"3140_1_5","2026-07-27",,"Poel in natuurgebied De Teut. Voorzichtig met staalname want veel drijvend bladmateriaal en ook drijvend fonteinkruid. Gaat plots zeer diep!"
"Extra",14026450,"3110_1_5","-",,"Poel in natuurgebied De Teut. Zeldzaam habitattype. Zelf staalnamepunt nog bepalen."
"Extra",47924946,"3160_1_5","-",,"Poel in natuurgebied De Teut. Zelf staalnamepunt nog bepalen."
"Meetnet",377138,"3150_0_1","2026-07-30",,"Poel in Bokrijk. Naar de balie rijden en vragen voor toegang. We hebben in juli reeds gemaild en poel is toen ook bemonsterd geweest."
"Meetnet",1999154,"3130_na_1_5","2026-07-30",,"Privé-terrein. Eigenaar gecontacteerd (Luc Comans) en oké om staal te komen nemen. Poel meer dan de helft drooggevallen. Eigenaar wel bellen als je opnieuw op bezoek gaat (nummer: 0475932840)."
"Extra",50634422,"3130_aom_1_5","-",,"Poel in Zonhoven. Is per ongeluk in juli ook eens bemonsterd geweest, maar viel dan uit de planning na een REP-update. Hier is sterke algenbloei aanwezig. Zelf staalnamepunt nog kiezen."
"Meetnet",3514038,"3130_aom_5_50","2026-07-30",,"Poel in de buurt van GRTS50634422"
"Meetnet",3764918,"3150_1_5","2026-07-23",,"Poel ligt zo goed als vol met waterlelies. Volledig omgeven ook door riet op enkele kleine stukjes na. Staal nemen in het open stukje zonder beplanting. Wel een stukje door riet moeten gaan om hier te geraken."
"Meetnet",454998,"3130_aom_0_1","2026-07-07",,"Poel in Herselt, natuurreservaat Langdonken (poel waar opleiding is doorgegaan)."
"Extra",1806302,"3130_aom_1_5","-",,"Poel in de buurt van de Kalmthoutse heide. Vrij diep met veel slib. Zelf staalnamepunt nog kiezen."
"Meetnet",572349,"3140_0_1","2026-07-28",,"Poel in Ekeren (Natuurreservaat Bospolder Ekers Moeras en Muisbroekbos). Ondiepe plas. Aanwezigheid van grazers (mest) en trampling, watervogels aanwezig."
"Meetnet",197342,"3160_1_5","2026-07-16",,"Poel in de Kalmthoutse Heide."
"Meetnet",24490718,"3160_1_5","2026-07-16",,"Poel in de Kalmthoutse Heide."
"Extra",20774622,"3160_5_50","-",,"Poel in de Kalmthoutse Heide (Putse Moer). Zelf staalnamepunt nog kiezen."
"Meetnet",902185,"3140_0_1","2026-07-15",,"Poel aan Waaslandhaven-Zuid."
"Meetnet",57662761,"3150_5_50","2026-07-20",,"Poel aan de Schelde (Rupelmondse Kreek)"
"Extra",20807190,"3140_50_150","-",,"Poel aan GGG Zennegat, genaamd Grote Vijver Zuid (Rumst, Mechelen). Zelf staalnamepunt nog kiezen."
"Meetnet",255241,"3150_0_1","2026-07-15",,"Poel in Turfmeersen. Veel vegetatie aanwezig in de poel, dikke rietkraag en andere planten langsheen de oevers"
"Extra",9321121,"3140_50_150","-",,"Plas De Gavers Harelbeke (provinciedomein). Zelf staalnamepunt nog kiezen."
"Meetnet",52772809,"3130_aom_5_50","2026-07-15",,"Plas Kraenepoel, sterke algenbloei. Privé. Even aanbellen en vragen voor toestemming."
