column,datatype,not_null,default,primary_key,sequence,foreign_key,constraint,freesql,comment
locationsoilinfo_id,int,True,,True,True,,,,soil info index (technical)
location_id,int,True,,False,False,metadata.Locations.location_id,,,location index (technical)
grts_address,bigint,True,,False,False,,CHECK (grts_address > 0),,GRTS address
region,varchar,False,NULL,False,False,,,,name of the region
converted,varchar,False,NULL,False,False,,,,Were morphogenetic texture and drainage variables derived from a conversion table?
soil_unit_type_codes,varchar,False,NULL,False,False,,,,the soil type of the Belgian soil map (mixed nature: morphogenetic & geomorphological codes).
substrate,varchar,False,NULL,False,False,,,,substrate
texture,varchar,False,NULL,False,False,,,,texture category
drainage,varchar,False,NULL,False,False,,,,drainage category
profile,varchar,False,NULL,False,False,,,,profile category
profile_variant,varchar,False,NULL,False,False,,,,variant regarding the soil profile
parent_material,varchar,False,NULL,False,False,,,,variant regarding the parent material
