column,datatype,not_null,default,primary_key,sequence,foreign_key,constraint,freesql,comment
fieldwork_id,int,True,,True,False,,,,fieldwork index: shared index over multiple fieldwork activity tables
log_user,varchar,True,current_user,False,False,,,,(technical) user who modified the entry
log_update,timestamp,True,current_timestamp,False,False,,,,(technical) timestamp of last modification
samplelocation_id,int,False,,False,False,,,,sample location index (technical) or NULL for obsolete visits
fieldworkcalendar_id,int,False,,False,False,outbound.FieldworkCalendar.fieldworkcalendar_id,,,link to FwC
visit_id,int,False,,False,False,inbound.Visits.visit_id,,,link to the `Visits`
grts_address,bigint,True,,False,False,,CHECK (grts_address > 0),,"GRTS address (`final`, i.e. after prior replacements) needed for retainer lookup"
stratum,varchar,True,,False,False,,,,strata for which the cell is eligible
activity_group_id,smallint,True,,False,False,,,,"a link to the activity metadata, brought here via fieldworkcalendar for convenience"
date_start,date,True,,False,False,,,,start of the panel activity sequence (included to keep recurrent visits unique)
photo_soil_1_peilbuis,varchar,False,NULL,False,False,,,,photo of the soil drill profile: peilbuis
photo_soil_2_piezometer,varchar,False,NULL,False,False,,,,photo of the soil drill profile: piezometer
photo_well,varchar,False,NULL,False,False,,,,photo of the placed well/pair
watina_code_used_1_peilbuis,varchar,False,NULL,False,False,,,,watina code of the `odd` subset of wells
watina_code_used_2_piezometer,varchar,False,NULL,False,False,,,,watina code of the `even` subset of wells
soilprofile_notes,varchar,False,NULL,False,False,,,,notes about the soil profiles
soilprofile_unclear,boolean,True,0,False,False,,,,help requested for evaluation of the soil profile
random_point_number,smallint,False,NULL,False,False,,,,"if so, which random point was chosen"
no_diver,boolean,True,0,False,False,,,,highlight issues (use notes to specify)
diver_id,varchar,False,NULL,False,False,,,,link to the table of available divers
free_diver,varchar,False,NULL,False,False,,,,free field to enter a non-registered diver code
reused_existing_well,boolean,False,0,False,False,,,,flag if an existing installation was reused
reused_with_replacement,boolean,False,0,False,False,,,,whether an existing installation was reused and refreshed
used_water_from_tap,boolean,False,NULL,False,False,,,,whether or not tap water was used for installation
used_water_source,varchar,False,NULL,False,False,,,,source of the water used for facilitating installation
