column,datatype,not_null,default,primary_key,sequence,foreign_key,constraint,freesql,comment
visit_id,int,True,,True,True,,,,visit index
log_user,varchar,True,current_user,False,False,,,,(technical) user who modified the entry
log_update,timestamp,True,current_timestamp,False,False,,,,(technical) timestamp of last modification
fieldworkcalendar_id,int,False,,False,False,outbound.FieldworkCalendar.fieldworkcalendar_id,,,link to FwC
samplelocation_id,int,False,,False,False,,,,sample location index (technical) or NULL for obsolete visits
location_id,int,False,,False,False,,,,"the technical sequence of all locations, put here for quick join"
sspstapa_id,smallint,False,NULL,False,False,metadata.SSPSTaPas.sspstapa_id,,,a lookup for one of those long concatenated text columns
grts_address,bigint,True,,False,False,,CHECK (grts_address > 0),,"GRTS address (`final`, i.e. after prior replacements) needed for retainer lookup"
activity_group_id,smallint,True,,False,False,,,,"a link to the activity metadata, brought here via fieldworkcalendar for convenience"
date_start,date,True,,False,False,,,,start of the panel activity sequence (included to keep recurrent visits unique)
teammember_id,smallint,False,NULL,False,False,,,,link to the user who performed the visit
date_visit,date,False,,False,False,,,,date of the field activity
notes,text,False,NULL,False,False,,,,Free text notes from the previous visits
photo,varchar,False,NULL,False,False,,,,an optional photo of the site or noteworthy thing
lims_code,varchar,False,NULL,False,False,,,,link to the LIMS system via recipient code
issues,boolean,True,0,False,False,,,,highlight issues (use notes to specify)
visit_done,boolean,True,0,False,False,,,,filter column for locations which have already been visited
